클러스터,ISBN,책,대분류,씨앗,크기,KDC대분류수,허브편중,내부평균굵기,별표,선정
1,9788954681155,홍학의 자리 :정해연 장편소설,문학,False,21,6,0.232,0.236,False,False
1,9791191114225,작별인사 :김영하 장편소설,문학,False,21,6,0.232,0.236,False,False
1,9791192953151,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,총류,True,21,6,0.232,0.236,False,False
1,9791130689890,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,종교,True,21,6,0.232,0.236,False,False
1,9788954616515,희랍어 시간 :한강 장편소설,문학,False,21,6,0.232,0.236,False,False
1,9791130646381,이처럼 사소한 것들 :클레어 키건 소설,문학,True,21,6,0.232,0.236,False,False
1,9788954651134,흰 :한강 소설,문학,False,21,6,0.232,0.236,False,False
1,9791190313186,지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,총류,True,21,6,0.232,0.236,False,False
1,9788968331862,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,예술,True,21,6,0.232,0.236,False,False
1,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",역사,True,21,6,0.232,0.236,False,False
1,9788936433598,채식주의자:한강 연작소설,문학,False,21,6,0.232,0.236,False,False
1,9788954695053,아주 희미한 빛으로도 :최은영 소설,문학,False,21,6,0.232,0.236,False,False
1,9791130698199,맡겨진 소녀 :클레어 키건 소설,문학,False,21,6,0.232,0.236,False,False
1,9788901276533,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,문학,False,21,6,0.232,0.236,False,False
1,9791191824001,지구 끝의 온실 :김초엽 장편소설,문학,False,21,6,0.232,0.236,False,False
1,9791192836188,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,자연과학,True,21,6,0.232,0.236,False,False
1,9788954681179,밝은 밤 :최은영 장편소설,문학,True,21,6,0.232,0.236,False,False
1,9788936434120,소년이 온다 :한강 장편소설,문학,True,21,6,0.232,0.236,False,False
1,9788998441012,모순 :양귀자 장편소설,문학,False,21,6,0.232,0.236,False,False
1,9788954682152,작별하지 않는다 :한강 장편소설,문학,True,21,6,0.232,0.236,False,False
1,9791189327156,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",자연과학,True,21,6,0.232,0.236,False,False
2,9791190409124,똥볶이 할멈 :K-히어로 판타지,문학,False,14,6,0.316,0.411,False,True
2,9791168127531,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,True,14,6,0.316,0.411,False,True
2,9791167550712,"왜 유명한 거야, 이 그림?",예술,True,14,6,0.316,0.411,False,True
2,9788936447014,아홉 살 마음 사전,철학,True,14,6,0.316,0.411,False,True
2,9791196316808,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,총류,True,14,6,0.316,0.411,False,True
2,9788934965404,국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,사회과학,False,14,6,0.316,0.411,False,True
2,9788950941819,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이",기술과학,False,14,6,0.316,0.411,False,True
2,9788936447694,고양이 해결사 깜냥,문학,True,14,6,0.316,0.411,False,True
2,9791198682550,너에게 들려주는 단단한 말,철학,False,14,6,0.316,0.411,False,True
2,9791193506202,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,기술과학,True,14,6,0.316,0.411,False,True
2,9788954677158,긴긴밤,문학,False,14,6,0.316,0.411,False,True
2,9788949123493,순례 주택 :유은실 소설,문학,False,14,6,0.316,0.411,False,True
2,9791198752406,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,기술과학,True,14,6,0.316,0.411,False,True
2,9788949161341,만복이네 떡집,문학,False,14,6,0.316,0.411,False,True
3,9788901260716,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,사회과학,True,13,2,0.28,0.34,False,False
3,9791158883591,부자 아빠 가난한 아빠 :20주년 특별 기념판,사회과학,False,13,2,0.28,0.34,False,False
3,9791198517425,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,True,13,2,0.28,0.34,False,False
3,9791158510619,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,사회과학,True,13,2,0.28,0.34,False,False
3,9791168473690,세이노의 가르침 :피보다 진하게 살아라,사회과학,True,13,2,0.28,0.34,False,False
3,9791192389325,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,사회과학,True,13,2,0.28,0.34,False,False
3,9788957365793,(EBS 다큐프라임) 자본주의,사회과학,False,13,2,0.28,0.34,False,False
3,9788997575169,원씽 :복잡한 세상을 이기는 단순함의 힘,사회과학,False,13,2,0.28,0.34,False,False
3,9791170610359,시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,사회과학,True,13,2,0.28,0.34,False,False
3,9791191056372,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,True,13,2,0.28,0.34,False,False
3,9791188331796,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,True,13,2,0.28,0.34,False,False
3,9791162540640,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,철학,True,13,2,0.28,0.34,False,False
3,9788965965046,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,철학,True,13,2,0.28,0.34,False,False
4,9791193128428,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",역사,True,11,4,0.309,0.27,False,True
4,9791191891287,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,문학,True,11,4,0.309,0.27,False,True
4,9791192579504,바다가 들리는 편의점,문학,False,11,4,0.309,0.27,False,True
4,9791198013026,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,사회과학,True,11,4,0.309,0.27,False,True
4,9791165341909,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,문학,True,11,4,0.309,0.27,False,True
4,9791197377143,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",문학,False,11,4,0.309,0.27,False,True
4,9791161571188,불편한 편의점 :김호연 장편소설,문학,True,11,4,0.309,0.27,False,True
4,9791198243430,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,역사,True,11,4,0.309,0.27,False,True
4,9791190538510,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,철학,True,11,4,0.309,0.27,False,True
4,9791191043754,세상의 마지막 기차역,문학,False,11,4,0.309,0.27,False,True
4,9788936438838,아버지의 해방일지 :정지아 장편소설,문학,True,11,4,0.309,0.27,False,True
5,9791190007320,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,예술,True,10,5,0.402,0.351,False,True
5,9791197578410,채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식,총류,True,10,5,0.402,0.351,False,True
5,9788934951278,(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,총류,True,10,5,0.402,0.351,False,True
5,9791198381811,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,예술,True,10,5,0.402,0.351,False,True
5,9788950983079,정재승의 인간 탐구 보고서,기술과학,False,10,5,0.402,0.351,False,True
5,9791186494431,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,예술,True,10,5,0.402,0.351,False,True
5,9791168411685,흔한남매,문학,True,10,5,0.402,0.351,False,True
5,9791169254069,팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,총류,True,10,5,0.402,0.351,False,True
5,9791190007245,야구 만화 도감 :어려울 줄 알았는데 재밌어!,예술,False,10,5,0.402,0.351,False,True
5,9791171171019,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,자연과학,True,10,5,0.402,0.351,False,True
6,9791169850445,남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,철학,True,6,2,0.539,0.495,False,False
6,9791198682505,나를 소모하지 않는 현명한 태도에 관하여,철학,True,6,2,0.539,0.495,False,False
6,9791192300818,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,철학,True,6,2,0.539,0.495,False,False
6,9791169851053,어른의 행복은 조용하다,문학,False,6,2,0.539,0.495,False,False
6,9791192300245,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,철학,True,6,2,0.539,0.495,False,False
6,9791192625553,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,철학,True,6,2,0.539,0.495,False,False
7,9791191859836,나는 읽고 쓰고 버린다 :손웅정의 말,예술,True,5,3,0.627,0.709,False,False
7,9791189686826,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,총류,True,5,3,0.627,0.709,False,False
7,9791190382502,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",예술,True,5,3,0.627,0.709,False,False
7,9791193939130,고전이 답했다 :마땅히 살아야 할 삶에 대하여,철학,False,5,3,0.627,0.709,False,False
7,9791130648385,인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,예술,True,5,3,0.627,0.709,False,False
8,9791140702589,당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,기술과학,True,5,1,0.586,0.782,False,False
8,9791193080146,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,기술과학,True,5,1,0.586,0.782,False,False
8,9791141606862,저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명,기술과학,False,5,1,0.586,0.782,False,False
8,9791158773120,(건강과 다이어트를 동시에 잡는) 채소·과일식 :단순하면서 자연스러운 가장 효과적인 식단,기술과학,False,5,1,0.586,0.782,False,False
8,9791198553317,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,True,5,1,0.586,0.782,False,False
9,9788934942641,놓지 마 맞춤법,언어,True,3,2,0.734,0.628,False,False
9,9788934990987,놓지 마 어휘 :한자어,언어,True,3,2,0.734,0.628,False,False
9,9791168122369,놓지 마 과학!,자연과학,True,3,2,0.734,0.628,False,False
