클러스터,ISBN,책,대분류,씨앗,크기,KDC대분류수,허브편중,내부평균굵기,별표,선정
3,9791186805398,"그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘",사회과학,False,17,3,0.266,0.332,False,True
3,9791191056372,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,True,17,3,0.266,0.332,False,True
3,9791191211467,그냥 하지 말라 :당신의 모든 것이 메시지다 =Don't just do it! : your every move is the message,사회과학,False,17,3,0.266,0.332,False,True
3,9791158883591,부자 아빠 가난한 아빠 :20주년 특별 기념판,사회과학,False,17,3,0.266,0.332,False,True
3,9788994702346,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법,사회과학,False,17,3,0.266,0.332,False,True
3,9791162540640,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,철학,True,17,3,0.266,0.332,False,True
3,9788957365793,(EBS 다큐프라임) 자본주의,사회과학,False,17,3,0.266,0.332,False,True
3,9791170610359,시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,사회과학,True,17,3,0.266,0.332,False,True
3,9791188331796,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,True,17,3,0.266,0.332,False,True
3,9791188469994,당신은 결국 무엇이든 해내는 사람 :김상현 에세이,문학,False,17,3,0.266,0.332,False,True
3,9791198517425,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,True,17,3,0.266,0.332,False,True
3,9788965965046,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,철학,True,17,3,0.266,0.332,False,True
4,9791198530325,메리골드 마음 사진관 =윤정은 장편소설 /Marigold mind photo studio,문학,False,16,4,0.347,0.302,False,True
4,9788997962129,망원동 브라더스 :김호연 장편소설,문학,False,16,4,0.347,0.302,False,True
4,9791192579504,바다가 들리는 편의점,문학,False,16,4,0.347,0.302,False,True
4,9791198013026,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,사회과학,True,16,4,0.347,0.302,False,True
4,9791161571768,나의 돈키호테 :김호연 장편소설,문학,False,16,4,0.347,0.302,False,True
4,9791161571188,불편한 편의점 :김호연 장편소설,문학,True,16,4,0.347,0.302,False,True
4,9788936434267,아몬드 :손원평 장편소설,문학,False,16,4,0.347,0.302,False,True
4,9791198243430,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,역사,True,16,4,0.347,0.302,False,True
4,9791130621968,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰,역사,False,16,4,0.347,0.302,False,True
4,9791190538510,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,철학,True,16,4,0.347,0.302,False,True
4,9791198173898,비가 오면 열리는 상점 =유영광 장편소설 /The rainbow goblin store,문학,False,16,4,0.347,0.302,False,True
4,9791191043754,세상의 마지막 기차역,문학,False,16,4,0.347,0.302,False,True
4,9791191891287,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,문학,True,16,4,0.347,0.302,False,True
4,9791165341909,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,문학,True,16,4,0.347,0.302,False,True
4,9791197377143,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",문학,False,16,4,0.347,0.302,False,True
4,9791193128428,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",역사,True,16,4,0.347,0.302,False,True
5,9791168127531,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,True,13,4,0.614,0.514,False,False
5,9791191347456,아들의 뇌 =딸로 태어난 엄마들을 위한 아들 사용 설명서 /Son's brain,기술과학,False,13,4,0.614,0.514,False,False
5,9791158364120,꽁꽁꽁 캠핑 :윤정주 그림책,문학,False,13,4,0.614,0.514,False,False
5,9791164052356,(좌절내구력 강한 아이로 키우는) 조선미의 초등생활 상담소,기술과학,False,13,4,0.614,0.514,False,False
5,9788952242433,나는 오늘도 너에게 화를 냈다 :엄마들의 고민을 명쾌하게 풀어낸 아홉 가지 현실 육아 솔루션,기술과학,False,13,4,0.614,0.514,False,False
5,9788952234650,아들 때문에 미쳐버릴 것 같은 엄마들에게 :큰 소리 내지 않고 아이를 키우는 법,기술과학,False,13,4,0.614,0.514,False,False
5,9788934965404,국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,사회과학,False,13,4,0.614,0.514,False,False
5,9788950941819,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이",기술과학,False,13,4,0.614,0.514,False,False
5,9791198682550,너에게 들려주는 단단한 말,철학,False,13,4,0.614,0.514,False,False
5,9791193506202,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,기술과학,True,13,4,0.614,0.514,False,False
5,9788949123493,순례 주택 :유은실 소설,문학,False,13,4,0.614,0.514,False,False
5,9791198752406,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,기술과학,True,13,4,0.614,0.514,False,False
5,9791164052035,조선미의 현실 육아 상담소,기술과학,False,13,4,0.614,0.514,False,False
6,9791191859836,나는 읽고 쓰고 버린다 :손웅정의 말,예술,True,11,5,0.397,0.57,False,True
6,9791165347161,나의 돈 많은 고등학교 친구 :슈퍼리치와의 대화에서 찾아낸 부자의 길,사회과학,False,11,5,0.397,0.57,False,True
6,9791189686536,"이 책은 돈 버는 법에 관한 이야기 :서민갑부 고명환의 생각법, 독서법, 장사법",사회과학,False,11,5,0.397,0.57,False,True
6,9791188073382,축구를 하며 생각한 것들 :손흥민 첫 에세이,미상,False,11,5,0.397,0.57,False,True
6,9791130648385,인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,예술,True,11,5,0.397,0.57,False,True
6,9788930041683,허송세월 :김훈 산문,문학,False,11,5,0.397,0.57,False,True
6,9791189686826,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,총류,True,11,5,0.397,0.57,False,True
6,9791190382502,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",예술,True,11,5,0.397,0.57,False,True
6,9791130697529,거인의 노트 :인생에서 무엇을 보고 어떻게 기록할 것인가,사회과학,False,11,5,0.397,0.57,False,True
6,9791193939130,고전이 답했다 :마땅히 살아야 할 삶에 대하여,철학,False,11,5,0.397,0.57,False,True
6,9788947542623,책 읽고 매출의 신이 되다,사회과학,False,11,5,0.397,0.57,False,True
7,9788954690690,리보와 앤 :아무도 오지 않는 도서관의 두 로봇,문학,False,11,3,1.0,0.526,True,False
7,9788936442804,푸른 사자 와니니 :이현 장편동화,문학,False,11,3,1.0,0.526,True,False
7,9788947547260,세금 내는 아이들,사회과학,False,11,3,1.0,0.526,True,False
7,9788949162539,하하 자매 떡집,문학,False,11,3,1.0,0.526,True,False
7,9788949121994,천하제일 치킨 쇼,문학,False,11,3,1.0,0.526,True,False
7,9791169811361,열세 살의 걷기 클럽 :김혜정 창작동화,문학,False,11,3,1.0,0.526,True,False
7,9788954674638,5번 레인,문학,False,11,3,1.0,0.526,True,False
7,9791160949797,기소영의 친구들 :정은주 창작동화,문학,False,11,3,1.0,0.526,True,False
7,9788954677158,긴긴밤,문학,False,11,3,1.0,0.526,True,False
7,9791167550712,"왜 유명한 거야, 이 그림?",예술,True,11,3,1.0,0.526,True,False
7,9788949122021,한성이 서울에게,문학,False,11,3,1.0,0.526,True,False
8,9791158362249,"용기를 내, 비닐장갑! :유설화 그림책",문학,False,10,4,0.483,0.411,False,True
8,9788949162058,소원 떡집,문학,False,10,4,0.483,0.411,False,True
8,9791190409124,똥볶이 할멈 :K-히어로 판타지,문학,False,10,4,0.483,0.411,False,True
8,9788936447014,아홉 살 마음 사전,철학,True,10,4,0.483,0.411,False,True
8,9791196316808,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,총류,True,10,4,0.483,0.411,False,True
8,9791196848194,수학 잘하는 아이는 이렇게 공부합니다 :수학이 어려운 엄마를 위한 전략적 학습 로드맵,자연과학,False,10,4,0.483,0.411,False,True
8,9788936447694,고양이 해결사 깜냥,문학,True,10,4,0.483,0.411,False,True
8,9788949162041,장군이네 떡집,문학,False,10,4,0.483,0.411,False,True
8,9791130679990,낭만 강아지 봉봉,문학,False,10,4,0.483,0.411,False,True
8,9788949161341,만복이네 떡집,문학,False,10,4,0.483,0.411,False,True
9,9791140702589,당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,기술과학,True,8,1,0.591,0.705,False,False
9,9791193080146,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,기술과학,True,8,1,0.591,0.705,False,False
9,9791196334703,지방 대사 켜는 스위치온 다이어트,기술과학,False,8,1,0.591,0.705,False,False
9,9791198553317,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,True,8,1,0.591,0.705,False,False
9,9791141606862,저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명,기술과학,False,8,1,0.591,0.705,False,False
9,9788901285146,해독 혁명 =질병 없는 몸을 위한 5단계 독소 해방 /Detox revolution,기술과학,False,8,1,0.591,0.705,False,False
9,9791187330295,완전 배출 :채소·과일·무첨가 주스는 어떻게 비만과 질병을 몰아내는가,기술과학,False,8,1,0.591,0.705,False,False
9,9791158773120,(건강과 다이어트를 동시에 잡는) 채소·과일식 :단순하면서 자연스러운 가장 효과적인 식단,기술과학,False,8,1,0.591,0.705,False,False
10,9791169850445,남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,철학,True,7,3,0.525,0.462,False,False
10,9791198682505,나를 소모하지 않는 현명한 태도에 관하여,철학,True,7,3,0.525,0.462,False,False
10,9791192300818,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,철학,True,7,3,0.525,0.462,False,False
10,9791169851053,어른의 행복은 조용하다,문학,False,7,3,0.525,0.462,False,False
10,9791192300245,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,철학,True,7,3,0.525,0.462,False,False
10,9791192625553,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,철학,True,7,3,0.525,0.462,False,False
10,9791193506516,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다,종교,False,7,3,0.525,0.462,False,False
11,9788934977841,호모 데우스 :미래의 역사,미상,False,5,3,1.0,0.75,True,False
11,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",역사,True,5,3,1.0,0.75,True,False
11,9788983711892,코스모스 :특별판,자연과학,False,5,3,1.0,0.75,True,False
11,9788932473901,이기적 유전자,자연과학,False,5,3,1.0,0.75,True,False
11,9788970127248,"총, 균, 쇠 :무기·병균·금속은 인류의 운명을 어떻게 바꿨는가",사회과학,False,5,3,1.0,0.75,True,False
12,9791192836188,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,자연과학,True,4,3,1.0,0.667,True,False
12,9791191438406,거꾸로 읽는 세계사,역사,False,4,3,1.0,0.667,True,False
12,9788965138068,그의 운명에 대한 아주 개인적인 생각,사회과학,False,4,3,1.0,0.667,True,False
