소스책,소스KDC,소스대분류,연관책,연관ISBN,연관KDC,연관대분류,연관class_nm,함께대출순위,교차,보편도df,IDF가중
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,축구를 하며 생각한 것들 :손흥민 첫 에세이,9791188073382,6,예술,"예술 > 오락, 운동 > 구기",10,False,1,3.4011973816621555
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,6,예술,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,2,True,11,1.0033021088637848
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,6,예술,아버지의 해방일지 :정지아 장편소설,9788936438838,8,문학,문학 > 한국문학 > 소설,3,True,8,1.3217558399823195
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,6,예술,불편한 편의점 :김호연 장편소설,9791161571379,8,문학,문학 > 한국문학 > 소설,4,True,11,1.0033021088637848
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,6,예술,소년이 온다 :한강 장편소설,9788936434120,8,문학,문학 > 한국문학 > 소설,5,True,6,1.6094379124341003
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,6,예술,작별하지 않는다 :한강 장편소설,9788954682152,8,문학,문학 > 한국문학 > 소설,6,True,6,1.6094379124341003
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,6,예술,밝은 밤 :최은영 장편소설,9788954681179,8,문학,문학 > 한국문학 > 소설,7,True,3,2.302585092994046
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,6,예술,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",9791189327156,4,자연과학,자연과학 > 동물학 > 동물학,8,True,3,2.302585092994046
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,6,예술,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,9788901276533,8,문학,문학 > 영미문학 > 르포르타주 및 기타,9,True,2,2.70805020110221
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,6,예술,작별인사 :김영하 장편소설,9791191114225,8,문학,문학 > 한국문학 > 소설,10,True,2,2.70805020110221
흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,7,언어,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,9791130635712,,미상,,1,False,1,3.4011973816621555
흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,7,언어,흔한남매 불꽃 튀는 우리말 5 - 초등 국어 고수 되기 프로젝트,9791130679266,,미상,,4,False,1,3.4011973816621555
흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,7,언어,흔한남매,9791164138197,8,문학,문학 > 한국문학 > 한국문학,5,True,5,1.791759469228055
흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,7,언어,흔한남매,9791164134267,8,문학,문학 > 한국문학 > 한국문학,6,True,5,1.791759469228055
흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,7,언어,흔한남매,9791168411685,8,문학,문학 > 한국문학 > 한국문학,7,True,5,1.791759469228055
흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,7,언어,흔한남매,9791164137527,8,문학,문학 > 한국문학 > 한국문학,8,True,5,1.791759469228055
흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,7,언어,흔한남매,9791164136261,8,문학,문학 > 한국문학 > 한국문학,9,True,5,1.791759469228055
흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,7,언어,흔한남매,9791164134847,8,문학,문학 > 한국문학 > 한국문학,10,True,5,1.791759469228055
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 맞춤법,9791158681647,7,언어,"언어 > 한국어 > 음운, 음성, 문자",1,False,1,3.4011973816621555
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 신체 관용구,9791158681999,7,언어,언어 > 한국어 > 어휘,2,False,1,3.4011973816621555
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 세계사 퀴즈,9791158682637,9,역사,"역사 > 역사 > 세계사, 세계문화사",3,True,1,3.4011973816621555
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 고사성어,9791158681531,7,언어,언어 > 한국어 > 어휘,4,False,1,3.4011973816621555
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 사자성어,9791158681944,7,언어,언어 > 한국어 > 어휘,5,False,1,3.4011973816621555
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 한국사 퀴즈,9791158682248,9,역사,역사 > 아시아(아세아) > 한국,6,True,1,3.4011973816621555
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 관용구,9791158681487,7,언어,언어 > 한국어 > 어휘,7,False,1,3.4011973816621555
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 한국사 퀴즈,9791158682309,9,역사,역사 > 아시아(아세아) > 한국,8,True,1,3.4011973816621555
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 속담,9791158681883,3,사회과학,"사회과학 > 풍속, 민속학 > 민간전승",9,True,1,3.4011973816621555
(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,(읽으면서 바로 써먹는) 어린이 수수께끼,9791158681746,3,사회과학,"사회과학 > 풍속, 민속학 > 민간전승",10,True,1,3.4011973816621555
불편한 편의점 :김호연 장편소설,8,문학,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,9791165341909,8,문학,문학 > 한국문학 > 소설,2,False,1,3.4011973816621555
불편한 편의점 :김호연 장편소설,8,문학,아버지의 해방일지 :정지아 장편소설,9788936438838,8,문학,문학 > 한국문학 > 소설,3,False,8,1.3217558399823195
불편한 편의점 :김호연 장편소설,8,문학,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",9791197377143,8,문학,문학 > 한국문학 > 소설,4,False,2,2.70805020110221
불편한 편의점 :김호연 장편소설,8,문학,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,9791191891287,8,문학,문학 > 한국문학 > 소설,5,False,4,2.0149030205422647
불편한 편의점 :김호연 장편소설,8,문학,달러구트 꿈 백화점 :이미예 장편소설,9791165343729,8,문학,문학 > 한국문학 > 소설,6,False,1,3.4011973816621555
불편한 편의점 :김호연 장편소설,8,문학,순례 주택 :유은실 소설,9788949123493,8,문학,문학 > 한국문학 > 소설,7,False,2,2.70805020110221
불편한 편의점 :김호연 장편소설,8,문학,망원동 브라더스 :김호연 장편소설,9788997962129,8,문학,문학 > 한국문학 > 소설,8,False,1,3.4011973816621555
불편한 편의점 :김호연 장편소설,8,문학,소년이 온다 :한강 장편소설,9788936434120,8,문학,문학 > 한국문학 > 소설,9,False,6,1.6094379124341003
불편한 편의점 :김호연 장편소설,8,문학,바다가 들리는 편의점,9791192579504,8,문학,문학 > 일본문학 > 소설,10,False,1,3.4011973816621555
아버지의 해방일지 :정지아 장편소설,8,문학,불편한 편의점 :김호연 장편소설,9791161571379,8,문학,문학 > 한국문학 > 소설,1,False,11,1.0033021088637848
아버지의 해방일지 :정지아 장편소설,8,문학,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,2,False,11,1.0033021088637848
아버지의 해방일지 :정지아 장편소설,8,문학,밝은 밤 :최은영 장편소설,9788954681179,8,문학,문학 > 한국문학 > 소설,3,False,3,2.302585092994046
아버지의 해방일지 :정지아 장편소설,8,문학,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",9791197377143,8,문학,문학 > 한국문학 > 소설,4,False,2,2.70805020110221
아버지의 해방일지 :정지아 장편소설,8,문학,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,9791191891287,8,문학,문학 > 한국문학 > 소설,5,False,4,2.0149030205422647
아버지의 해방일지 :정지아 장편소설,8,문학,작별하지 않는다 :한강 장편소설,9788954682152,8,문학,문학 > 한국문학 > 소설,6,False,6,1.6094379124341003
아버지의 해방일지 :정지아 장편소설,8,문학,하얼빈 :김훈 장편소설,9788954699914,8,문학,문학 > 한국문학 > 소설,7,False,1,3.4011973816621555
아버지의 해방일지 :정지아 장편소설,8,문학,순례 주택 :유은실 소설,9788949123493,8,문학,문학 > 한국문학 > 소설,8,False,2,2.70805020110221
아버지의 해방일지 :정지아 장편소설,8,문학,작별인사 :김영하 장편소설,9791191114225,8,문학,문학 > 한국문학 > 소설,9,False,2,2.70805020110221
아버지의 해방일지 :정지아 장편소설,8,문학,소년이 온다 :한강 장편소설,9788936434120,8,문학,문학 > 한국문학 > 소설,10,False,6,1.6094379124341003
(흔한남매) 별난 세계 여행,9,역사,흔한남매 이상한 나라의 고전 읽기,9791168415034,8,문학,문학 > 한국문학 > 소설,3,True,1,3.4011973816621555
(흔한남매) 별난 세계 여행,9,역사,흔한남매 이상한 나라의 고전 읽기,9791168412248,8,문학,문학 > 한국문학 > 소설,4,True,1,3.4011973816621555
(흔한남매) 별난 세계 여행,9,역사,흔한남매,9791168415232,8,문학,문학 > 한국문학 > 한국문학,5,True,5,1.791759469228055
(흔한남매) 별난 세계 여행,9,역사,흔한남매 이상한 나라의 고전 읽기,9791168413955,8,문학,문학 > 한국문학 > 소설,6,True,1,3.4011973816621555
(흔한남매) 별난 세계 여행,9,역사,흔한남매,9791168412477,8,문학,문학 > 한국문학 > 한국문학,7,True,5,1.791759469228055
(흔한남매) 별난 세계 여행,9,역사,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,9791168415409,4,자연과학,자연과학 > 자연과학 > 자연과학,8,True,2,2.70805020110221
(흔한남매) 별난 세계 여행,9,역사,흔한남매,9791168411685,8,문학,문학 > 한국문학 > 한국문학,9,True,5,1.791759469228055
(흔한남매) 별난 세계 여행,9,역사,흔한남매,9791168414471,8,문학,문학 > 한국문학 > 한국문학,10,True,5,1.791759469228055
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9,역사,코스모스 :특별판,9788983711892,4,자연과학,자연과학 > 천문학 > 기술천문학,1,True,1,3.4011973816621555
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9,역사,소년이 온다 :한강 장편소설,9788936434120,8,문학,문학 > 한국문학 > 소설,2,True,6,1.6094379124341003
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9,역사,"총, 균, 쇠 :무기·병균·금속은 인류의 운명을 어떻게 바꿨는가",9788970127248,3,사회과학,"사회과학 > 풍속, 민속학 > 민족학",3,True,1,3.4011973816621555
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9,역사,호모 데우스 :미래의 역사,9788934977841,3,사회과학,"사회과학 > 사회학, 사회문제 > 사회학",4,True,1,3.4011973816621555
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9,역사,이기적 유전자,9788932473901,4,자연과학,자연과학 > 동물학 > 일반 동물학,6,True,1,3.4011973816621555
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9,역사,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,7,True,11,1.0033021088637848
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9,역사,작별하지 않는다 :한강 장편소설,9788954682152,8,문학,문학 > 한국문학 > 소설,8,True,6,1.6094379124341003
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9,역사,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",9791189327156,4,자연과학,자연과학 > 동물학 > 동물학,9,True,3,2.302585092994046
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",9,역사,아버지의 해방일지 :정지아 장편소설,9788936438838,8,문학,문학 > 한국문학 > 소설,10,True,8,1.3217558399823195
