소스책,소스KDC,소스대분류,연관책,연관ISBN,연관KDC,연관대분류,연관class_nm,함께대출순위,교차,보편도df,IDF가중
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,9791192300245,1,철학,"철학 > 서양철학 > 독일, 오스트리아철학",2,False,1,3.4011973816621555
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,세이노의 가르침 :피보다 진하게 살아라,9791168473690,3,사회과학,사회과학 > 경제학 > 경영관리,3,True,7,1.455287232606842
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,불편한 편의점 :김호연 장편소설,9791161571379,8,문학,문학 > 한국문학 > 소설,4,True,11,1.0033021088637848
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,소년이 온다 :한강 장편소설,9788936434120,8,문학,문학 > 한국문학 > 소설,5,True,6,1.6094379124341003
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,작별하지 않는다 :한강 장편소설,9788954682152,8,문학,문학 > 한국문학 > 소설,6,True,6,1.6094379124341003
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",9791167740984,1,철학,철학 > 심리학 > 각론,7,False,5,1.791759469228055
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,이처럼 사소한 것들 :클레어 키건 소설,9791130646381,8,문학,문학 > 영미문학 > 소설,8,True,3,2.302585092994046
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,아버지의 해방일지 :정지아 장편소설,9788936438838,8,문학,문학 > 한국문학 > 소설,9,True,8,1.3217558399823195
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,9791191891287,8,문학,문학 > 한국문학 > 소설,10,True,4,2.0149030205422647
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,원씽 :복잡한 세상을 이기는 단순함의 힘,9788997575169,3,사회과학,사회과학 > 경제학 > 경영관리,1,True,5,1.791759469228055
