책A,책B,대분류A,대분류B,교차,엣지종류수,상호,순위강도합,IDF_A,IDF_B,보편도penalty,최종굵기,같은시리즈,ISBN_A,ISBN_B
"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",(5천년 역사가 단숨에 이해되는) 최소한의 한국사,역사,역사,False,3,True,5.3,1.0,1.0,1.0,7.95,False,9791193128428,9791198243430
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",나는 읽고 쓰고 버린다 :손웅정의 말,예술,예술,False,3,True,6.0,0.843,0.843,0.843,7.588,False,9791190382502,9791191859836
당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,기술과학,기술과학,False,3,True,5.6,0.843,0.843,0.843,7.082,False,9791140702589,9791193080146
남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,철학,철학,False,3,True,5.8,0.843,0.751,0.751,6.537,False,9791169850445,9791192625553
느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,2,True,3.0,0.843,0.843,0.843,3.794,False,9791193080146,9791198553317
놓지 마 맞춤법,놓지 마 어휘 :한자어,언어,언어,False,3,True,2.5,1.0,1.0,1.0,3.75,False,9788934942641,9788934990987
돈의 심리학 :당신은 왜 부자가 되지 못했는가,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,사회과학,False,3,True,5.4,0.595,0.438,0.438,3.545,False,9791191056372,9791198517425
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",예술,예술,False,3,True,2.5,0.843,0.843,0.843,3.162,False,9791130648385,9791190382502
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,나는 읽고 쓰고 버린다 :손웅정의 말,예술,예술,False,3,True,2.4,0.843,0.843,0.843,3.035,False,9791130648385,9791191859836
나는 오늘도 너에게 화를 냈다 :엄마들의 고민을 명쾌하게 풀어낸 아홉 가지 현실 육아 솔루션,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,3,False,2.9,1.0,1.0,1.0,2.9,False,9788952242433,9791168127531
의사 어벤저스 :어린이 의학 동화,어린 왕자,기술과학,문학,True,3,False,2.9,1.0,1.0,1.0,2.9,False,9788957361900,9788957361955
아들 때문에 미쳐버릴 것 같은 엄마들에게 :큰 소리 내지 않고 아이를 키우는 법,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,3,False,2.8,1.0,1.0,1.0,2.8,False,9788952234650,9791168127531
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,(애매한 것을 속 시원하게 알려 주는) 알쏭달쏭 상담소,총류,기술과학,True,3,False,2.8,1.0,1.0,1.0,2.8,False,9788934951278,9791191426090
축구 만화 도감 :재밌을 줄 알았는데 멋있어!,단순할 줄 알았는데 짜릿해! 농구 만화 도감,예술,미상,False,3,False,2.8,1.0,1.0,1.0,2.8,False,9791190007320,9791190007412
그의 운명에 대한 아주 개인적인 생각,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,사회과학,자연과학,True,3,False,2.7,1.0,1.0,1.0,2.7,False,9788965138068,9791192836188
"이 책은 돈 버는 법에 관한 이야기 :서민갑부 고명환의 생각법, 독서법, 장사법",나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,사회과학,총류,True,3,False,2.6,1.0,1.0,1.0,2.6,False,9791189686536,9791189686826
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,사회과학,False,2,True,3.4,0.503,0.595,0.503,2.564,False,9791188331796,9791191056372
야구 만화 도감 :어려울 줄 알았는데 재밌어!,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,예술,예술,False,3,False,2.9,0.843,1.0,0.843,2.445,False,9791190007245,9791190007320
만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,철학,사회과학,True,3,True,2.5,0.686,0.636,0.636,2.384,False,9791190538510,9791198013026
역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,2,True,3.6,0.438,0.503,0.438,2.363,False,9788901260716,9791188331796
소년이 온다 :한강 장편소설,작별하지 않는다 :한강 장편소설,문학,문학,False,3,True,4.6,0.438,0.322,0.322,2.222,False,9788936434120,9788954682152
야구 잘하는 50가지 비밀 :진짜 진짜 야구 잘하고 싶은 어린이만 보는 책!,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,미상,예술,False,3,False,2.2,1.0,1.0,1.0,2.2,False,9791186073995,9791198381811
지방 대사 켜는 스위치온 다이어트,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,3,False,2.6,1.0,0.843,0.843,2.192,False,9791196334703,9791198553317
역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,사회과학,사회과학,False,2,True,3.3,0.438,0.686,0.438,2.166,False,9788901260716,9791158510619
책 읽고 매출의 신이 되다,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,사회과학,총류,True,3,False,2.1,1.0,1.0,1.0,2.1,False,9788947542623,9791189686826
시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,그냥 하지 말라 :당신의 모든 것이 메시지다 =Don't just do it! : your every move is the message,사회과학,사회과학,False,3,False,2.1,1.0,1.0,1.0,2.1,False,9791170610359,9791191211467
아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,기술과학,기술과학,False,3,False,2.7,1.0,0.751,0.751,2.029,False,9791193506202,9791198752406
당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,2,True,1.6,0.843,0.843,0.843,2.024,False,9791140702589,9791198553317
리보와 앤 :아무도 오지 않는 도서관의 두 로봇,"왜 유명한 거야, 이 그림?",문학,예술,True,2,False,2.0,1.0,1.0,1.0,2.0,False,9788954690690,9791167550712
역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,세이노의 가르침 :피보다 진하게 살아라,사회과학,사회과학,False,3,True,4.6,0.438,0.281,0.281,1.937,False,9788901260716,9791168473690
이주하는 인류 :인구 대이동과 그들이 써내려간 역동의 세계사,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,사회과학,총류,True,3,False,1.9,1.0,1.0,1.0,1.9,False,9791192519135,9791192953151
저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,기술과학,기술과학,False,3,False,2.5,0.751,0.843,0.751,1.878,False,9791141606862,9791193080146
야구 만화 도감 :어려울 줄 알았는데 재밌어!,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,예술,예술,False,3,False,2.2,0.843,1.0,0.843,1.855,False,9791190007245,9791198381811
조선미의 현실 육아 상담소,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,3,False,1.8,1.0,1.0,1.0,1.8,False,9791164052035,9791168127531
마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,철학,철학,False,3,True,4.1,0.751,0.29,0.29,1.786,False,9791192300245,9791192300818
밝은 밤 :최은영 장편소설,아주 희미한 빛으로도 :최은영 소설,문학,문학,False,3,False,2.5,0.686,0.686,0.686,1.716,False,9788954681179,9788954695053
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",호모 데우스 :미래의 역사,역사,미상,False,2,False,1.7,1.0,1.0,1.0,1.7,False,9788934972464,9788934977841
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,문학,문학,False,3,True,2.3,0.843,0.479,0.479,1.652,False,9791165341909,9791191891287
타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,사회과학,철학,True,1,True,1.7,0.686,0.636,0.636,1.621,False,9791158510619,9791162540640
한성이 서울에게,"왜 유명한 거야, 이 그림?",문학,예술,True,2,False,1.6,1.0,1.0,1.0,1.6,False,9788949122021,9791167550712
마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,철학,철학,False,2,True,1.4,0.751,0.751,0.751,1.578,False,9791192300245,9791192625553
트러스트 :에르난 디아스 장편소설,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,문학,총류,True,2,False,1.8,0.843,1.0,0.843,1.518,False,9788954691673,9791192953151
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,사회과학,False,2,True,2.9,0.346,0.438,0.346,1.505,False,9791192389325,9791198517425
역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,사회과학,사회과학,False,2,True,2.8,0.438,0.346,0.346,1.453,False,9788901260716,9791192389325
메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,메리골드 마음 사진관 =윤정은 장편소설 /Marigold mind photo studio,문학,문학,False,3,False,3.0,0.479,0.843,0.479,1.437,False,9791191891287,9791198530325
저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,2,False,1.9,0.751,0.843,0.751,1.428,False,9791141606862,9791198553317
생각하는 야구 교과서 :어린이를 위한 야구의 모든 것,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,미상,예술,False,2,False,1.4,1.0,1.0,1.0,1.4,False,9788965913085,9791198381811
공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,수학 잘하는 아이는 이렇게 공부합니다 :수학이 어려운 엄마를 위한 전략적 학습 로드맵,총류,자연과학,True,2,False,1.4,1.0,1.0,1.0,1.4,False,9791196316808,9791196848194
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",아들의 뇌 =딸로 태어난 엄마들을 위한 아들 사용 설명서 /Son's brain,기술과학,기술과학,False,3,False,1.4,1.0,1.0,1.0,1.4,False,9791168127531,9791191347456
하늘과 바람과 별과 인간 :원자에서 인간까지,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,자연과학,자연과학,False,3,False,1.4,1.0,1.0,1.0,1.4,False,9791166891496,9791192836188
국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,사회과학,기술과학,True,2,False,2.0,0.686,0.751,0.686,1.373,False,9788934965404,9791198752406
축구 만화 도감 :재밌을 줄 알았는데 멋있어!,야구 만화 도감 :어려울 줄 알았는데 재밌어!,예술,미상,False,2,False,1.6,1.0,0.843,0.843,1.349,False,9791190007320,9791190007726
허송세월 :김훈 산문,인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,문학,예술,True,2,False,1.6,1.0,0.843,0.843,1.349,False,9788930041683,9791130648385
맡겨진 소녀 :클레어 키건 소설,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,문학,총류,True,2,False,1.6,0.843,1.0,0.843,1.349,False,9791130698199,9791192953151
남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,철학,철학,False,3,True,3.0,0.843,0.29,0.29,1.307,False,9791169850445,9791192300818
세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,(네모아저씨의) 페이퍼 블레이드 :유닛의 경계를 넘어! 종이접기의 한계를 넘어!,예술,예술,False,2,False,1.3,1.0,1.0,1.0,1.3,False,9791186494431,9791186494837
당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명,기술과학,기술과학,False,2,False,1.7,0.843,0.751,0.751,1.277,False,9791140702589,9791141606862
세이노의 가르침 :피보다 진하게 살아라,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,2,True,3.0,0.281,0.503,0.281,1.264,False,9791168473690,9791188331796
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",문학,문학,False,3,False,2.1,0.843,0.595,0.595,1.248,False,9791165341909,9791197377143
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,사회과학,False,2,True,1.9,0.503,0.438,0.438,1.247,False,9791188331796,9791198517425
"왜 유명한 거야, 이 그림?",열세 살의 걷기 클럽 :김혜정 창작동화,예술,문학,True,2,False,1.2,1.0,1.0,1.0,1.2,False,9791167550712,9791169811361
불편한 편의점 :김호연 장편소설,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,문학,문학,False,3,True,3.8,0.202,0.843,0.202,1.151,False,9791161571188,9791165341909
놓지 마 맞춤법,놓지 마 어휘 :한자어,미상,언어,False,2,False,1.1,1.0,1.0,1.0,1.1,False,9788934926924,9788934990987
(좌절내구력 강한 아이로 키우는) 조선미의 초등생활 상담소,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,3,False,1.1,1.0,1.0,1.0,1.1,False,9791164052356,9791168127531
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,기술과학,기술과학,False,2,False,1.1,1.0,1.0,1.0,1.1,False,9791168127531,9791193506202
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,고전이 답했다 :being better through the classics,총류,사회과학,True,2,False,1.1,1.0,1.0,1.0,1.1,False,9791189686826,9791193939314
세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,(네모아저씨의) 페이퍼 윙즈 =색종이 1장으로 접는 종이비행기의 완결판! /Paper wings,예술,미상,False,2,False,1.1,1.0,1.0,1.0,1.1,False,9791186494431,9791186494530
내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,(박용우 박사의) 스위치온 다이어트 레시피북 :살찌지 않는 건강한 몸으로 되돌리는 4주 다이어트 식단,기술과학,기술과학,False,2,False,1.3,0.843,1.0,0.843,1.096,False,9791198553317,9791198553379
느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,"저속노화 마인드셋 :노년내과 의사가 알려주는, 내 몸의 주도권을 되찾고 무너진 삶을 회복하는 법",기술과학,기술과학,False,2,False,1.3,0.843,0.843,0.843,1.096,False,9791193080146,9791194627074
세이노의 가르침 :피보다 진하게 살아라,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,사회과학,철학,True,2,True,2.6,0.281,0.29,0.281,1.095,False,9791168473690,9791192300818
소년이 온다 :한강 장편소설,채식주의자 :한강 장편소설,문학,문학,False,3,False,2.5,0.438,0.843,0.438,1.094,False,9788936434120,9788936434595
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,예술,사회과학,True,2,False,1.7,0.843,0.636,0.636,1.081,False,9791190382502,9791198013026
돈의 심리학 :당신은 왜 부자가 되지 못했는가,"돈의 방정식 :돈을 지위와 성공의 기준, 그 이상으로 다루기 위한 21가지 이야기",사회과학,사회과학,False,2,False,1.8,0.595,0.751,0.595,1.07,False,9791191056372,9791193904671
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,돈의 심리학 :당신은 왜 부자가 되지 못했는가,철학,사회과학,True,1,True,1.2,0.636,0.595,0.595,1.07,False,9791162540640,9791191056372
타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,2,True,1.4,0.686,0.503,0.503,1.056,False,9791158510619,9791188331796
세이노의 가르침 :피보다 진하게 살아라,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,사회과학,사회과학,False,2,True,2.5,0.281,0.346,0.281,1.053,False,9791168473690,9791192389325
도파민네이션 :쾌락 과잉 시대에서 균형 찾기,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",철학,철학,False,3,True,2.9,1.0,0.238,0.238,1.035,False,9788965965046,9791167740984
아버지의 해방일지 :정지아 장편소설,불편한 편의점 :김호연 장편소설,문학,문학,False,2,True,3.4,0.23,0.202,0.202,1.03,False,9788936438838,9791161571188
국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,사회과학,총류,True,2,False,1.5,0.686,1.0,0.686,1.029,False,9788934965404,9791196316808
쇼코의 미소 :최은영 소설,밝은 밤 :최은영 장편소설,문학,문학,False,2,False,1.5,1.0,0.686,0.686,1.029,False,9788954641630,9788954681179
"다시, 역사의 쓸모 :합리적이고 품위 있는 선택을 위한 20가지 지혜",(5천년 역사가 단숨에 이해되는) 최소한의 한국사,역사,역사,False,3,False,1.2,0.843,1.0,0.843,1.012,False,9791193401217,9791198243430
아버지의 해방일지 :정지아 장편소설,밝은 밤 :최은영 장편소설,문학,문학,False,2,True,2.9,0.23,0.686,0.23,1.002,False,9788936438838,9788954681179
도파민네이션 :쾌락 과잉 시대에서 균형 찾기,도파민 디톡스 :쾌락과 고통에 지배당한 뇌를 되돌려라,철학,철학,False,1,False,1.0,1.0,1.0,1.0,1.0,False,9788965965046,9788965966647
더 커진 간단 종이접기 대백과 270 - 하루에 30분씩! 두뇌 트레이닝,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,미상,예술,False,1,False,1.0,1.0,1.0,1.0,1.0,False,9791158951214,9791186494431
"왜 유명한 거야, 이 그림?","열두 살, 아무에게도 말하지 못한 비밀",예술,미상,False,1,False,1.0,1.0,1.0,1.0,1.0,False,9791167550712,9791192529417
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",코스모스 :특별판,역사,자연과학,True,1,False,1.0,1.0,1.0,1.0,1.0,False,9788934972464,9788983711892
세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,(네모아저씨의) 페이퍼 블레이드 :색종이 3장이면 멋진 팽이가 내 것!,예술,미상,False,1,False,1.0,1.0,1.0,1.0,1.0,False,9791186494431,9791186494479
"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",(수천 년 세계사의 흐름이 통째로 이해되는) 요즘 어른을 위한 최소한의 전쟁사,역사,미상,False,1,False,1.0,1.0,1.0,1.0,1.0,False,9791193128428,9791193128787
원더풀 사이언스 :아름다운 기초과학 산책,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,자연과학,자연과학,False,1,False,1.0,1.0,1.0,1.0,1.0,False,9788959090532,9791192836188
내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,술 취한 코끼리 길들이기 :마음속 108마리 코끼리 이야기,종교,종교,False,1,False,1.0,1.0,1.0,1.0,1.0,False,9791130689890,9791195026135
아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,마음이 부자인 아이는 어떻게 성장하는가 :행복할 줄 아는 아이로 키우는 정서 육아법,기술과학,기술과학,False,1,False,1.0,1.0,1.0,1.0,1.0,False,9791193506202,9791193937228
(역사멘토 최태성의) 한국사,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,미상,역사,False,1,False,1.0,1.0,1.0,1.0,1.0,False,9791159253379,9791198243430
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,별별 직업 상담소,총류,사회과학,True,1,False,1.0,1.0,1.0,1.0,1.0,False,9788934951278,9791173320927
너에게 들려주는 단단한 말,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,철학,기술과학,True,2,False,1.3,0.843,0.751,0.751,0.977,False,9791198682550,9791198752406
이처럼 사소한 것들 :클레어 키건 소설,맡겨진 소녀 :클레어 키건 소설,문학,문학,False,3,False,2.9,0.334,0.843,0.334,0.968,False,9791130646381,9791130698199
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,철학,철학,False,3,True,2.2,0.29,0.751,0.29,0.958,False,9791192300818,9791192625553
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,고전이 답했다 :마땅히 살아야 할 삶에 대하여,총류,철학,True,2,False,1.9,1.0,0.503,0.503,0.955,False,9791189686826,9791193939130
흔한남매 이상한 나라의 고전 읽기,(흔한남매) 별난 세계 여행,문학,역사,True,2,False,1.5,0.636,0.843,0.636,0.954,False,9791168415034,9791168415355
남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,나를 소모하지 않는 현명한 태도에 관하여,철학,철학,False,2,False,1.5,0.843,0.636,0.636,0.954,False,9791169850445,9791198682505
박용우의 마이 옵티멀 다이어트 - 살찌지 않는 몸을 위한 최적의 식사 전략,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,미상,기술과학,False,2,False,1.1,1.0,0.843,0.843,0.927,False,9791173323881,9791198553317
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,나를 소모하지 않는 현명한 태도에 관하여,철학,철학,False,3,True,2.1,0.29,0.636,0.29,0.915,False,9791192300818,9791198682505
메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,바다가 들리는 편의점,문학,문학,False,3,False,1.9,0.479,0.751,0.479,0.91,False,9791191891287,9791192579504
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,철학,사회과학,True,1,True,1.2,0.636,0.503,0.503,0.905,False,9791162540640,9791188331796
고양이 해결사 깜냥,낭만 강아지 봉봉,문학,문학,False,3,False,1.2,0.751,1.0,0.751,0.902,False,9788936447694,9791130679990
내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,모든 삶은 흐른다 :삶의 지표가 필요한 당신에게 바다가 건네는 말,종교,철학,True,1,False,0.9,1.0,1.0,1.0,0.9,False,9791130689890,9791190299770
최태성 한국사 수업 :한국사 강의가 책에서 들린다,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,미상,역사,False,1,False,0.9,1.0,1.0,1.0,0.9,False,9791129701855,9791198243430
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,책 읽고 매출의 신이 되다 :고명환의 장사 내공,총류,사회과학,True,1,False,0.9,1.0,1.0,1.0,0.9,False,9791189686826,9791189686932
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,멋지다!,총류,문학,True,1,False,0.9,1.0,1.0,1.0,0.9,False,9788934951278,9788966351176
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","총, 균, 쇠 :무기·병균·금속은 인류의 운명을 어떻게 바꿨는가",역사,사회과학,True,2,False,0.9,1.0,1.0,1.0,0.9,False,9788934972464,9788970127248
(김종진 감독의) 어린이 야구 설명서,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,미상,예술,False,1,False,0.9,1.0,1.0,1.0,0.9,False,9791158681203,9791198381811
세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,(네모아저씨의) 페이퍼 애니멀 :한 장으로 접는 입체 동물 40점,예술,미상,False,2,False,0.9,1.0,1.0,1.0,0.9,False,9791186494431,9791186494592
완전학습 바이블 =배운 것을 100% 이해하는 후천적 공부머리의 비밀 /Mastery learning bible,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,사회과학,총류,True,1,False,0.9,1.0,1.0,1.0,0.9,False,9791130631134,9791196316808
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",극한의 경험 :유발 하라리의 전쟁 문화사,역사,미상,False,1,False,0.9,1.0,1.0,1.0,0.9,False,9788934972464,9788993952858
부모의 내면이 아이의 세상이 된다 :소아정신과 최고 권위자 대니얼 J. 시겔의 40년 연구 결실을 담은 9가지 육아 원칙,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,기술과학,기술과학,False,1,False,0.9,1.0,1.0,1.0,0.9,False,9791169851305,9791193506202
메멘과 모리,(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,문학,총류,True,1,False,0.9,1.0,1.0,1.0,0.9,False,9788934920991,9788934951278
"최선의 고통 :고통과 쾌락, 그 최적의 지점에서",도파민네이션 :쾌락 과잉 시대에서 균형 찾기,철학,철학,False,1,False,0.9,1.0,1.0,1.0,0.9,False,9788925578347,9788965965046
청춘의 독서 :세상을 바꾼 위험하고 위대한 생각들,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,총류,자연과학,True,1,False,0.9,1.0,1.0,1.0,0.9,False,9788901294742,9791192836188
(남자들이 좋아하는) 종이접기 150,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,미상,예술,False,1,False,0.9,1.0,1.0,1.0,0.9,False,9788976227638,9791186494431
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",세이노의 가르침 :피보다 진하게 살아라,철학,사회과학,True,2,True,2.5,0.238,0.281,0.238,0.892,False,9791167740984,9791168473690
아주 희미한 빛으로도 :최은영 소설,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,문학,총류,True,2,False,1.3,0.686,1.0,0.686,0.892,False,9788954695053,9791192953151
불편한 편의점 :김호연 장편소설,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,문학,문학,False,2,True,2.9,0.202,0.479,0.202,0.879,False,9791161571188,9791191891287
