책A,책B,대분류A,대분류B,교차,엣지종류수,상호,순위강도합,IDF_A,IDF_B,보편도penalty,최종굵기,같은시리즈,ISBN_A,ISBN_B
"70세가 노화의 갈림길 :젊음을 지속하는 사람, 단번에 늙어버리는 사람의 차이",당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,기술과학,기술과학,False,1,False,0.6,1.0,0.843,0.843,0.506,False,9788965020004,9791140702589
시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,상상하지 말라 :그들이 말하지 않는 진짜 욕망을 보는 법,사회과학,사회과학,False,1,False,0.6,1.0,0.843,0.843,0.506,False,9791170610359,9791195463800
고양이 해결사 깜냥,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,문학,총류,True,1,False,0.6,0.843,1.0,0.843,0.506,False,9788936448370,9791196316808
인생에 변명하지 마라,인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,미상,예술,False,1,False,0.6,1.0,0.843,0.843,0.506,False,9788965700869,9791130648385
아홉 살 마음 사전,고양이 해결사 깜냥,철학,문학,True,1,False,0.6,1.0,0.843,0.843,0.506,False,9788936447014,9788936447861
놓지 마 속담,놓지 마 맞춤법,사회과학,언어,True,1,False,0.6,0.843,1.0,0.843,0.506,False,9788934908760,9788934942641
놓지 마 어휘 :한자어,놓지 마 과학!,언어,자연과학,True,1,False,0.6,1.0,0.843,0.843,0.506,False,9788934990987,9791190630184
아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,아이의 뇌 =뇌과학에서 찾아낸 4가지 양육 원칙 /A child's brain,기술과학,기술과학,False,1,False,0.6,1.0,0.843,0.843,0.506,False,9791193506202,9791193506981
요즘 어른을 위한 최소한의 한국사,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,미상,역사,False,1,False,0.6,0.843,1.0,0.843,0.506,False,9791193128992,9791198243430
왜 우리는 매일 거대도시로 향하는가 :교통지옥에 갇힌 도시생활자의 기쁨과 슬픔,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,사회과학,기술과학,True,1,False,0.6,0.843,0.843,0.843,0.506,False,9788934935001,9791193080146
나는 읽고 쓰고 버린다 :손웅정의 말,삶이라는 완벽한 농담 :이경규 에세이,예술,미상,False,1,False,0.6,0.843,1.0,0.843,0.506,False,9791191859836,9791194246800
놓지 마 어휘 :한자어,놓지 마 과학!,언어,자연과학,True,1,False,0.6,1.0,0.843,0.843,0.506,False,9788934990987,9791171712267
놓지 마 맞춤법,놓지 마 과학!,언어,자연과학,True,1,False,0.6,1.0,0.843,0.843,0.506,False,9788934942641,9791171712267
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,알면서도 알지 못하는 것들 :가장 기본적인 소망에 대하여,사회과학,철학,True,1,False,1.0,0.503,1.0,0.503,0.503,False,9791188331796,9791195963300
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사장학개론,사회과학,사회과학,False,2,False,1.0,0.503,1.0,0.503,0.503,False,9791188331796,9791188331888
아홉 살 마음 사전,고양이 해결사 깜냥,철학,문학,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9788936447014,9788936448011
"(영화보다,) 세계사 :영화가 새로워지고 역사가 재미있어지는","(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",미상,역사,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791161728803,9791193128428
불편한 편의점 :김호연 장편소설,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,문학,기술과학,True,2,False,1.5,0.334,0.751,0.334,0.5,False,9791161571379,9791198752406
아홉 살 독서 수업 :부모가 알아야 할 초등 저학년 독서의 모든 것,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,총류,총류,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791190030137,9791196316808
Who? 김도영 =Kim Do Yeong,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,미상,예술,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791130665849,9791198381811
에그박사의 채집 일기 :스티커로 채집하는 자연 생물 관찰 만화,에그박사의 이건 누구 똥?!,자연과학,자연과학,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791164137800,9791168412705
시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,라이프 트렌드 2025 :조용한 사람들 =Life trend : quiet & silent,사회과학,사회과학,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791170610359,9791193528365
거꾸로 읽는 세계사,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,역사,자연과학,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9791191438406,9791192836188
유시민의 공감필법,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,총류,자연과학,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9788936472979,9791192836188
세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,(네모아저씨의) 페이퍼 블레이드,예술,예술,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791186494431,9791186494714
아홉 살 마음 사전,뜨고 지고!,철학,언어,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9788936447014,9788955820843
