ISBN,책,KDC,대분류,씨앗,out_degree,in_degree
9791193939130,고전이 답했다 :마땅히 살아야 할 삶에 대하여,1,철학,False,0,9
9791158682538,(읽으면서 바로 써먹는) 어린이 맞춤법 행성,7,언어,True,17,9
9791168416369,흔한남매,8,문학,False,0,9
9791168412477,흔한남매,8,문학,False,0,9
9791158682965,(읽으면서 바로 써먹는) 어린이 초등 교과 어휘,7,언어,False,0,8
9791158681999,(읽으면서 바로 써먹는) 어린이 신체 관용구,7,언어,True,19,8
9791158681531,(읽으면서 바로 써먹는) 어린이 고사성어,7,언어,True,16,8
9791158681647,(읽으면서 바로 써먹는) 어린이 맞춤법,7,언어,True,16,8
9791164138197,흔한남매,8,문학,False,0,8
9791158681722,(읽으면서 바로 써먹는) 어린이 영단어,7,언어,False,0,8
9791158681258,(읽으면서 바로 써먹는) 어린이 속담,3,사회과학,False,0,8
9791158681630,(읽으면서 바로 써먹는) 어린이 사자소학,1,철학,False,0,8
9788998441012,모순 :양귀자 장편소설,8,문학,False,0,8
9791189327156,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,True,27,8
9791168414471,흔한남매,8,문학,False,0,7
9791168417199,흔한남매,8,문학,False,0,7
9791158681487,(읽으면서 바로 써먹는) 어린이 관용구,7,언어,True,16,7
9791158681791,(읽으면서 바로 써먹는) 어린이 명심보감,1,철학,False,0,7
