cluster_id,shelf_name,isbn,title,kdc_category,is_seed,internal_strength,internal_degree,addition_symbol,reader_group,publication_form,loan_count,seoul_library_count,top_keywords
5,웃으며 읽는 어린이 교양,9791190007320,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,예술,True,1.693,3,74690,아동,전집·다권본,14670,115,축구; 포지션; 선수; 만화; 소개
5,웃으며 읽는 어린이 교양,9791190007245,야구 만화 도감 :어려울 줄 알았는데 재밌어!,예술,False,1.668,2,74690,아동,전집·다권본,16846,142,야구; 스포츠; 도감; 만화; 반전
5,웃으며 읽는 어린이 교양,9791198381811,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,예술,True,1.648,3,77690,아동,그림책·만화,13396,185,야구; 뭐예; 투수; 경기; 프로야구
5,웃으며 읽는 어린이 교양,9791168411685,흔한남매,문학,True,1.614,6,77810,아동,그림책·만화,92028,209,흔한남매; 웃음; 에이미; 사랑; 으뜸
5,웃으며 읽는 어린이 교양,9791171171019,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,자연과학,True,0.474,2,74400,아동,전집·다권본,22871,224,물리; 비밀; 연구; 일지; 과학
5,웃으며 읽는 어린이 교양,9788934951278,(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,총류,True,0.404,1,73300,아동,단행본,27082,203,현상; 공부; 친구; 신기; 순간
5,웃으며 읽는 어린이 교양,9788950983079,정재승의 인간 탐구 보고서,기술과학,False,0.334,2,74400,아동,전집·다권본,87718,288,지구; 외모; 10월의 하늘; 인간 탐구 보고서; 사람
5,웃으며 읽는 어린이 교양,9791169254069,팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,총류,True,0.235,2,74030,아동,전집·다권본,17725,146,꼬리; 팩트; 사실; 팩토피아; 지식
5,웃으며 읽는 어린이 교양,9791197578410,채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식,총류,True,0.183,2,74900,아동,전집·다권본,52300,287,인문학; 지식; 대화; 지대넓얕; 채사장의 지대넓얕
5,웃으며 읽는 어린이 교양,9791186494431,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,예술,True,0.179,1,13630,실용,단행본,40039,151,종이접기; 얼굴; 비행기; 입체; 네모아저씨
