rank,library_code,library_name,address,owned_books,coverage_pct,cluster_2_owned,cluster_2_total,cluster_4_owned,cluster_4_total,cluster_5_owned,cluster_5_total,collection_size,case_role,display_count,guide_count,missing_count
243,711352,국사봉숲속작은도서관,서울특별시 동작구 양녕로23길 27,22,62.9,9,14,11,11,2,10,5607,,0,0,0
244,711319,도봉구청 행복작은도서관,서울특별시 도봉구 마들로 656,22,62.9,9,14,8,11,5,10,42479,,0,0,0
245,711603,꿈꾸는 작은도서관,서울특별시 노원구 석계로 59,22,62.9,10,14,10,11,2,10,17967,,0,0,0
246,111180,남산타운 어린이도서관,서울특별시 중구 다산로32,22,62.9,12,14,3,11,7,10,50210,,0,0,0
247,711402,이촌2동 작은도서관,"서울특별시 용산구 이촌로18길 20, 2층",22,62.9,9,14,7,11,6,10,11400,,0,0,0
248,711304,응암1동문화의집문고,서울특별시 은평구 백련산로 179,22,62.9,10,14,8,11,4,10,17317,,0,0,0
249,111072,대조꿈나무어린이도서관,서울특별시 은평구 연서로20길 24-6,22,62.9,12,14,5,11,5,10,34664,,0,0,0
250,711088,휘경2동 꿈빛누리 작은도서관,서울특별시 동대문구 한천로 329,21,60.0,8,14,7,11,6,10,11473,,0,0,0
251,111512,공릉행복도서관,서울특별시 노원구 동일로179길 22,21,60.0,10,14,7,11,4,10,23872,,0,0,0
252,141619,한내지혜의숲도서관,서울특별시 노원구 마들로 86,21,60.0,10,14,9,11,2,10,25953,,0,0,0
253,711311,답십리1동 아름드리 작은도서관,"서울특별시 동대문구 사가정로 30, 답십리1동 주민센터 3층",21,60.0,8,14,8,11,5,10,6915,,0,0,0
254,111021,서울특별시교육청종로도서관,서울특별시 종로구 사직로9길 15-14,21,60.0,10,14,11,11,0,10,-,,0,0,0
255,111279,문화촌작은도서관,서울특별시 서대문구 세검정로4길 32,21,60.0,10,14,8,11,3,10,20176,,0,0,0
256,111414,메아리 작은도서관,서울특별시 노원구 상계동 735-1,21,60.0,8,14,10,11,3,10,17401,,0,0,0
257,111274,쌍문3동 공립 작은도서관,서울특별시 도봉구 노해로44길 9,21,60.0,9,14,9,11,3,10,23342,,0,0,0
258,711251,장안1동 작은도서관,서울특별시 동대문구 장한로26가길 113,21,60.0,6,14,10,11,5,10,7339,,0,0,0
259,111431,가재울지혜마루 작은도서관,서울특별시 노원구 한글비석로 97,21,60.0,9,14,9,11,3,10,20324,,0,0,0
260,711308,갈현1동문화의집,서울특별시 은평구 갈현로 301,21,60.0,10,14,6,11,5,10,10867,,0,0,0
261,711079,전곡마을 작은도서관,서울특별시 동대문구 전농1동 199-56,21,60.0,10,14,8,11,3,10,4913,,0,0,0
262,711075,햇살작은도서관,서울특별시 서대문구 세검정로1길 45,21,60.0,8,14,10,11,3,10,6343,,0,0,0
263,711401,한강로동 작은도서관,"서울특별시 용산구 한강대로38길 28, 3층",21,60.0,10,14,7,11,4,10,15508,,0,0,0
264,111272,창1동 공립 작은도서관,서울특별시 도봉구 해등로 46,21,60.0,8,14,10,11,3,10,18477,,0,0,0
265,111271,방학2동 공립 작은도서관,서울특별시 도봉구 시루봉로 226,21,60.0,9,14,10,11,2,10,17606,,0,0,0
266,711002,이문어린이도서관,서울특별시 동대문구 천장산로9길 68,21,60.0,10,14,7,11,4,10,13358,,0,0,0
267,711318,창5동 공립 작은도서관,서울특별시 도봉구 도봉로136나길 20,21,60.0,8,14,10,11,3,10,23272,,0,0,0
268,111227,압구정동 문고,서울특별시 강남구 압구정로33길 48,21,60.0,11,14,9,11,1,10,14380,,0,0,0
269,711604,달내 작은도서관,서울특별시 노원구 초안산로5길 28,20,57.1,9,14,8,11,3,10,15169,,0,0,0
270,711468,논골작은도서관,서울특별시 서대문구 연희로41가길 33,20,57.1,10,14,6,11,4,10,11556,,0,0,0
271,111547,중화문학도서관,"서울특별시 중랑구 봉화산로 27, 3~4층",20,57.1,8,14,8,11,4,10,22313,,0,0,0
272,711080,장안 가온누리 작은도서관,"서울특별시 동대문구 천호대로 87길 43, 미나리어린이공원 내",20,57.1,10,14,7,11,3,10,4656,,0,0,0
273,111290,새싹작은도서관,서울특별시 서대문구 통일로27길 19,20,57.1,8,14,7,11,5,10,19530,,0,0,0
274,711611,해솔 작은도서관,서울특별시 노원구 한글비석로 434,20,57.1,6,14,10,11,4,10,17247,,0,0,0
275,111174,송중문화정보도서관,서울특별시 강북구 도봉로20나길 6,20,57.1,9,14,7,11,4,10,27352,,0,0,0
276,111258,성산글마루작은도서관,"서울특별시 마포구 월드컵북로 235, 3층",20,57.1,10,14,7,11,3,10,20904,,0,0,0
277,311744,용꿈꾸는작은도서관,서울특별시 관악구 관악로 145,19,54.3,8,14,10,11,1,10,18000,,0,0,0
278,711077,늘푸른열린작은도서관,서울특별시 서대문구 수색로 100-55,19,54.3,8,14,8,11,3,10,12770,,0,0,0
279,111517,손기정 문화도서관,서울특별시 중구 손기정로 101-3,19,54.3,8,14,11,11,0,10,31947,,0,0,0
280,511015,북서울중학교,서울특별시 도봉구 도봉로169가길 33,19,54.3,7,14,9,11,3,10,36712,,0,0,0
281,711618,KB국민은행과 함께하는 나무 작은도서관,서울특별시 노원구 동일로 1405,19,54.3,7,14,7,11,5,10,3983,,0,0,0
282,11134711,신사동 작은도서관,서울특별시 강남구 압구정로 128,19,54.3,9,14,8,11,2,10,7682,,0,0,0
283,111047,노원어린이도서관,서울특별시 노원구 한글비석로 346,19,54.3,12,14,0,11,7,10,118787,,0,0,0
284,711400,원효로제2동 작은도서관,"서울특별시 용산구 효창원로8길 3, 4층",19,54.3,9,14,6,11,4,10,12258,,0,0,0
285,111527,항동푸른도서관,서울특별시 구로구 연동로 290-46,18,51.4,10,14,6,11,2,10,11113,,0,0,0
286,111102,동작영어마루도서관,서울특별시 동작구 장승배기로16길 98,18,51.4,9,14,5,11,4,10,39000,,0,0,0
287,111351,도봉1동 공립 작은도서관,서울특별시 도봉구 도봉로169나길 22,18,51.4,6,14,8,11,4,10,18172,,0,0,0
288,111558,서초구립우면도서관,"서울특별시 서초구 양재대로2길 110, 4~5층",18,51.4,9,14,5,11,4,10,22051,,0,0,0
289,711605,도란도란 작은도서관,서울특별시 노원구 동일로186길 3-24,18,51.4,5,14,8,11,5,10,16531,,0,0,0
290,11134707,일원본동 작은도서관,서울특별시 강남구 광평로 126,17,48.6,9,14,8,11,0,10,16669,,0,0,0
291,111182,수유문화정보도서관,서울특별시 강북구 삼양로 299,17,48.6,9,14,7,11,1,10,38080,,0,0,0
292,711081,동대문구 장안 벚꽃길 작은도서관,서울특별시 동대문구 장안동 481-2,17,48.6,8,14,8,11,1,10,4860,,0,0,0
293,111519,하계어린이도서관,"서울특별시 노원구 공릉로58가길 13, 2층",17,48.6,9,14,0,11,8,10,11299,,0,0,0
294,711403,회나무 작은도서관,"서울특별시 용산구 회나무로13길 58, 1층",17,48.6,7,14,6,11,4,10,11031,,0,0,0
295,111257,해오름작은도서관,"서울특별시 마포구 신촌로26길 10, 2층",17,48.6,9,14,7,11,1,10,17236,,0,0,0
296,111218,낙성대공원도서관,"서울특별시 관악구 낙성대로 77, 낙성대공원 내",17,48.6,7,14,7,11,3,10,12925,,0,0,0
297,711433,장안마루 작은도서관,서울특별시 동대문구 사가정로 23길 64,17,48.6,6,14,7,11,4,10,3823,,0,0,0
298,111464,월곡꿈그림도서관,서울특별시 성북구 화랑로13길 17,17,48.6,8,14,8,11,1,10,29251,,0,0,0
299,311034,노원구청 종합자료실,서울특별시 노원구 노해로 437,17,48.6,7,14,10,11,0,10,21140,,0,0,0
300,111331,창2동 공립 작은도서관,"서울특별시 도봉구 덕릉로59길 73-3, 4층(창2동 주민센터)",17,48.6,7,14,7,11,3,10,10581,,0,0,0
301,111262,방학1동 공립 작은도서관,서울특별시 도봉구 방학로2길 27,16,45.7,5,14,9,11,2,10,16431,,0,0,0
302,111350,창3동 공립 작은도서관,"서울특별시 도봉구 덕릉로 60차길 12, 초안마당 3, 4층",16,45.7,5,14,9,11,2,10,8232,,0,0,0
303,711485,장안꿈마루어린이 작은도서관,"서울특별시 동대문구 한천로28길 5, 시온아트빌 102동 101호",16,45.7,9,14,6,11,1,10,3521,,0,0,0
304,111281,알음알음작은도서관,서울특별시 서대문구 경기대로 40,16,45.7,7,14,6,11,3,10,18661,,0,0,0
305,111299,불광천작은도서관,서울특별시 은평구 불광천길 370,16,45.7,9,14,6,11,1,10,9012,,0,0,0
306,111465,삼각산어린이도서관,서울특별시 강북구 삼양로19길 34,16,45.7,7,14,0,11,9,10,26670,,0,0,0
307,111498,손기정 어린이도서관,서울특별시 중구 손기정로 101-1,15,42.9,6,14,0,11,9,10,23615,,0,0,0
308,111171,아름드리작은도서관,서울특별시 마포구 방울내로7길 11,15,42.9,7,14,6,11,2,10,23633,,0,0,0
309,111530,영등포생각공장도서관,"서울특별시 영등포구 문래북로 105, 1-3층",15,42.9,4,14,8,11,3,10,13576,,0,0,0
310,111536,원지공원도서관,서울특별시 영등포구 도림로47길 23,15,42.9,6,14,4,11,5,10,7889,,0,0,0
311,111364,작은도서관 꿈꾸는책마을,"서울특별시 용산구 장문로 95, 1층",15,42.9,6,14,6,11,3,10,8304,,0,0,0
312,111053,이문체육문화센터 어린이도서관,서울특별시 동대문구 한천로58길 81-49,15,42.9,7,14,3,11,5,10,30548,,0,0,0
313,711074,북아현마을 북카페,서울특별시 서대문구 북아현로 24,15,42.9,5,14,6,11,4,10,10404,,0,0,0
314,711305,효경골마을문고,서울특별시 은평구 연서로27길 31-6,15,42.9,8,14,6,11,1,10,18228,,0,0,0
315,711610,푸른숲 작은도서관,"서울특별시 노원구 동일로 1633, 3층",15,42.9,7,14,6,11,2,10,1724,,0,0,0
316,711398,후암동 작은도서관 북앤캠프,"서울특별시 용산구 후암로 32-6, 2층",14,40.0,6,14,5,11,3,10,11429,,0,0,0
317,111415,한울 작은도서관,서울특별시 노원구 한글비석로 487,14,40.0,5,14,7,11,2,10,20377,,0,0,0
318,711320,지혜의등대 작은도서관,"서울특별시 도봉구 노해로 256, 1층 (창동다우아트리체)",14,40.0,7,14,7,11,0,10,5757,,0,0,0
319,111137,신사어린이도서관,서울특별시 은평구 은평로 38,14,40.0,8,14,5,11,1,10,16889,,0,0,0
320,711090,중화어린이도서관,서울특별시 중랑구 중랑역로3길 28,13,37.1,6,14,0,11,7,10,36004,,0,0,0
321,111278,행복작은도서관,서울특별시 서대문구 모래내로 334,13,37.1,8,14,5,11,0,10,11910,,0,0,0
322,111515,김근태기념도서관,서울특별시 도봉구 도봉산길 14,13,37.1,6,14,3,11,4,10,18027,,0,0,0
323,111273,아이누리작은도서관,서울특별시 서대문구 증가로 13-10,13,37.1,6,14,4,11,3,10,21137,,0,0,0
324,11134704,도곡2동 작은도서관,서울특별시 강남구 남부순환로378길 34-9,13,37.1,6,14,5,11,2,10,12749,,0,0,0
325,111373,강서영어도서관,서울특별시 강서구 곰달래로57가길 26,12,34.3,8,14,4,11,0,10,33941,,0,0,0
326,711073,하늘샘작은도서관,서울특별시 서대문구 독립문로 27,12,34.3,4,14,5,11,3,10,9015,,0,0,0
327,111532,고척열린도서관,"서울특별시 구로구 경인로43길 49, 3~4층",12,34.3,7,14,2,11,3,10,12690,,0,0,0
328,11134717,일원1동 작은도서관,서울특별시 강남구 양재대로55길 14,12,34.3,2,14,8,11,2,10,3177,,0,0,0
329,111348,창4동 공립 작은도서관,서울특별시 도봉구 노해로 390,12,34.3,4,14,6,11,2,10,17737,,0,0,0
330,11134713,수서동 작은도서관,서울특별시 강남구 광평로 301-4,11,31.4,3,14,6,11,2,10,7704,,0,0,0
331,111208,도봉구립무수골도서관,서울특별시 도봉구 도봉로175길 10,11,31.4,7,14,4,11,0,10,27796,,0,0,0
332,711646,신대방햇살도서관,서울특별시 동작구 여의대방로16길 53,10,28.6,4,14,1,11,5,10,2788,,0,0,0
333,711307,역촌누리작은도서관,"서울특별시 은평구 연서로14길 8-8, 2층",10,28.6,7,14,2,11,1,10,15849,,0,0,0
334,111537,광진어린이영어도서관,"서울특별시 광진구 천호대로136길 55, 1층",9,25.7,6,14,3,11,0,10,19798,,0,0,0
335,111468,아리랑어린이도서관,서울특별시 성북구 아리랑로 75,9,25.7,5,14,0,11,4,10,37139,,0,0,0
336,111138,반포본동 작은도서관,서울특별시 서초구 신반포로 10,9,25.7,6,14,2,11,1,10,21042,,0,0,0
337,711596,마포나루메타버스도서관,서울특별시 마포구 마포대로 8,8,22.9,2,14,6,11,0,10,3355,,0,0,0
338,711317,쌍문4동 공립 작은도서관,서울특별시 도봉구 시루봉로 62-7,8,22.9,6,14,2,11,0,10,16837,,0,0,0
339,111282,쌍문2동 공립 작은도서관,서울특별시 도봉구 방학로3길 117,7,20.0,3,14,4,11,0,10,21567,,0,0,0
340,111477,서초그림책도서관,서울특별시 서초구 명달로 150,6,17.1,6,14,0,11,0,10,22521,,0,0,0
341,111357,방학3동 공립 작은도서관,서울특별시 도봉구 해등로32길 80,6,17.1,4,14,2,11,0,10,29092,,0,0,0
342,111280,꿈이있는작은도서관,서울특별시 서대문구 통일로34길 27,6,17.1,3,14,2,11,1,10,10195,,0,0,0
343,111304,용두어린이영어도서관,서울특별시 동대문구 무학로 133,5,14.3,3,14,2,11,0,10,41408,,0,0,0
344,711397,용암어린이영어도서관,"서울특별시 용산구 신흥로3가길 21-7, 2층",5,14.3,5,14,0,11,0,10,16056,,0,0,0
345,711539,장충동 작은도서관,서울특별시 중구 동호로25길 33,4,11.4,3,14,0,11,1,10,3386,,0,0,0
346,111539,구로미래도서관,서울특별시 구로구 새말로 111,4,11.4,2,14,2,11,0,10,3724,,0,0,0
347,111454,둘리도서관,서울특별시 도봉구 시루봉로1길 6,3,8.6,1,14,1,11,1,10,12657,,0,0,0
348,711152,녹번만화도서관,서울특별시 은평구 은평로 245,3,8.6,0,14,0,11,3,10,5345,,0,0,0
349,711324,창동육아종합지원센터,서울특별시 도봉구 우이천로4길 24-5,3,8.6,2,14,1,11,0,10,6176,,0,0,0
350,111259,송파어린이영어도서관,서울특별시 송파구 오금로 1,3,8.6,1,14,1,11,1,10,51300,,0,0,0
351,111306,신도림어린이영어작은도서관,"서울특별시 구로구 신도림로 40, 신도림동주민센터 2층",2,5.7,1,14,1,11,0,10,16013,,0,0,0
352,111518,강남구립일원라온영어도서관,"서울특별시 강남구 영동대로 22, 지하 1층",1,2.9,1,14,0,11,0,10,30913,,0,0,0
